url_length,hyphen_count,dot_count,digit_count,entropy,subdomain_depth,has_https,is_ip_address,has_at_symbol,path_length,query_param_count,special_char_count,brand_impersonation_score,brand_matched_count,brand_keyword_hit_count,brand_typosquat_hit_count,brand_has_action_word,tld_risk_score,tld_known,idn_is_homograph,idn_confusable_count,idn_risk_score,idn_punycode_flag,dns_resolves,dns_a_record_count,dns_has_aaaa,dns_has_mx,whois_domain_age_days,whois_recently_registered,whois_privacy_protected,whois_found,ssl_valid,ssl_self_signed,ssl_days_until_expiry,ssl_expired,visual_similarity_score,dom_credential_form_detected,aggregate_lexical_risk_score,whois_registrar_was_missing,whois_domain_age_days_was_missing,ssl_days_until_expiry_was_missing,ssl_issuer_was_missing,ssl_expired_was_missing,visual_similarity_score_was_missing,dom_credential_form_detected_was_missing,category_was_missing,tld_freq,whois_registrar_freq,category_freq,ssl_issuer_google_trust_services,ssl_issuer_let's_encrypt,ssl_issuer_digicert_inc,ssl_issuer_amazon,ssl_issuer_globalsign_nv_sa,ssl_issuer_sectigo_limited,ssl_issuer_godaddycom_inc,ssl_issuer_godaddycom,ssl_issuer_hellenic_academic_and_research_institutions_ca,ssl_issuer_microsoft_corporation,ssl_issuer_other,ssl_issuer_missing
21,0,1,0,2.5216,0,1,0,0,6,0,0,0.0,0,0,0,0,0.5,0,0,0,0.0,0,1,1,0,1,-1.0,0,0,1,1,0,83.0,0,0.1875,0,0.2004,0,1,0,0,0,0,0,1,0.000825,0.000825,0.778259,1,0,0,0,0,0,0,0,0,0,0,0
29,0,2,0,3.1219,1,1,0,0,11,0,0,0.0833,1,0,1,0,0.5,0,0,0,0.0,0,1,1,0,1,-1.0,0,0,0,0,0,-1.0,-1,0.0312,0,0.2458,1,1,1,1,1,0,0,0,0.008663,0.573432,0.032178,0,0,0,0,0,0,0,0,0,0,0,1
43,0,3,2,4.1043,2,0,0,0,0,0,0,0.0,0,0,0,0,0.15,1,0,0,0.0,0,1,2,0,0,-1.0,0,0,0,0,0,-1.0,0,0.125,0,0.1271,1,1,1,1,0,0,0,1,0.358292,0.573432,0.778259,0,0,0,0,0,0,0,0,0,0,0,1
40,0,3,0,3.76,2,1,0,0,0,0,0,0.0,0,0,0,0,0.15,1,0,0,0.0,0,1,1,0,0,-1.0,0,0,0,0,0,-1.0,0,-1.0,-1,0.1202,1,1,1,1,0,1,1,1,0.358292,0.573432,0.778259,0,0,0,0,0,0,0,0,0,0,0,1
53,0,1,0,3.1219,0,1,0,0,35,0,0,0.0,0,0,0,0,0.22,1,0,0,0.0,0,1,1,0,0,78.0,0,1,1,0,0,-1.0,-1,-1.0,-1,0.1284,0,0,1,1,1,1,1,1,0.042492,0.063325,0.778259,0,0,0,0,0,0,0,0,0,0,0,1
34,1,2,0,3.8137,1,1,0,0,0,0,0,0.0,0,0,0,0,0.15,1,0,0,0.0,0,1,1,0,0,-1.0,0,0,0,1,0,53.0,0,0.125,0,0.1213,1,1,0,0,0,0,0,1,0.358292,0.573432,0.778259,1,0,0,0,0,0,0,0,0,0,0,0
65,1,2,2,3.9754,1,1,0,0,36,0,0,0.0,0,0,0,0,0.5,0,0,0,0.0,0,1,2,0,0,-1.0,0,0,0,1,0,84.0,0,0.1875,0,0.2295,1,1,0,0,0,0,0,1,0.110974,0.573432,0.778259,1,0,0,0,0,0,0,0,0,0,0,0
16,0,1,0,2.75,0,1,0,0,0,0,0,0.0,0,0,0,0,0.15,1,0,0,0.0,0,1,2,0,1,11287.0,0,1,1,1,0,40.0,0,0.1875,0,0.1,0,0,0,0,0,0,0,1,0.358292,0.001031,0.778259,1,0,0,0,0,0,0,0,0,0,0,0
30,1,2,1,3.7849,1,1,0,0,0,0,0,0.0833,1,0,1,0,0.35,1,0,0,0.0,0,1,2,0,0,-1.0,0,0,0,1,0,78.0,0,0.3125,0,0.214,1,1,0,0,0,0,0,0,0.099216,0.573432,0.10396,1,0,0,0,0,0,0,0,0,0,0,0
26,0,2,0,3.0575,1,1,0,0,0,0,0,0.0,0,0,0,0,0.5,0,0,0,0.0,0,1,1,0,0,-1.0,0,0,0,1,0,36.0,0,0.1875,0,0.2112,1,1,0,0,0,0,0,1,0.000619,0.573432,0.778259,1,0,0,0,0,0,0,0,0,0,0,0
22,0,2,0,3.027,1,1,0,0,0,0,0,0.0,0,0,0,0,0.15,1,0,0,0.0,0,1,1,0,0,-1.0,0,0,0,1,0,89.0,0,0.3125,0,0.1055,1,1,0,0,0,0,0,1,0.358292,0.573432,0.778259,0,0,0,0,1,0,0,0,0,0,0,0
36,0,2,0,3.4547,1,0,0,0,0,0,0,0.0,0,0,0,0,0.15,1,0,0,0.0,0,1,2,0,0,474.0,0,1,1,0,0,-1.0,-1,0.1875,0,0.1141,0,0,1,1,1,0,0,1,0.358292,0.063325,0.778259,0,0,0,0,0,0,0,0,0,0,0,1
33,1,2,0,3.6733,1,0,0,0,0,0,0,0.0,0,0,0,0,0.5,0,0,0,0.0,0,1,2,0,0,-1.0,0,0,0,1,0,33.0,0,0.5,0,0.2235,1,1,0,0,0,0,0,1,0.110974,0.573432,0.778259,0,1,0,0,0,0,0,0,0,0,0,0
28,0,1,0,3.0391,0,1,0,0,6,0,0,0.0,0,0,0,0,0.15,1,0,0,0.0,0,1,1,0,1,4871.0,0,0,1,1,0,152.0,0,0.1875,0,0.1058,0,0,0,0,0,0,0,1,0.358292,0.000206,0.778259,0,0,0,0,1,0,0,0,0,0,0,0
32,0,1,3,3.1219,0,1,0,0,14,0,0,0.0,0,0,0,0,0.15,1,0,0,0.0,0,0,0,0,0,136.0,0,1,1,0,0,-1.0,-1,-1.0,-1,0.1074,0,0,1,1,1,1,1,1,0.358292,0.063325,0.778259,0,0,0,0,0,0,0,0,0,0,0,1
26,0,1,0,2.9477,0,1,0,0,9,0,0,0.0,0,0,0,0,0.15,1,0,0,0.0,0,1,1,0,1,16.0,1,0,1,0,0,-1.0,-1,-1.0,-1,0.104,0,0,1,1,1,1,1,1,0.358292,0.063325,0.778259,0,0,0,0,0,0,0,0,0,0,0,1
35,0,2,0,3.7924,1,1,0,0,0,0,0,0.0,0,0,0,0,0.15,1,0,0,0.0,0,1,1,0,0,-1.0,0,0,0,1,0,53.0,0,0.1875,0,0.1208,1,1,0,0,0,0,0,1,0.358292,0.573432,0.778259,1,0,0,0,0,0,0,0,0,0,0,0
23,0,2,0,2.8424,1,1,0,0,0,0,0,0.0,0,0,0,0,0.15,1,0,0,0.0,0,1,8,0,0,10587.0,0,0,1,1,0,53.0,0,0.125,0,0.1018,0,0,0,0,0,0,0,1,0.358292,0.044554,0.778259,1,0,0,0,0,0,0,0,0,0,0,0
52,4,2,8,4.6352,1,0,0,0,0,0,0,0.0,0,0,0,0,0.5,0,0,0,0.0,0,1,2,0,0,-1.0,0,0,0,1,0,71.0,0,0.375,0,0.2427,1,1,0,0,0,0,0,1,0.110974,0.573432,0.778259,1,0,0,0,0,0,0,0,0,0,0,0
39,2,2,6,4.1155,1,0,0,0,0,0,0,0.0,0,0,0,0,0.15,1,0,0,0.0,0,1,2,0,0,5013.0,0,0,1,1,0,55.0,0,0.25,0,0.1273,0,0,0,0,0,0,0,1,0.358292,0.044554,0.778259,1,0,0,0,0,0,0,0,0,0,0,0
26,0,2,4,3.8522,1,1,0,0,0,0,0,0.0,0,0,0,0,0.28,1,0,0,0.0,0,1,1,0,0,1981.0,0,0,1,1,0,100.0,0,0.25,0,0.161,0,0,0,0,0,0,0,1,0.045998,0.0033,0.778259,0,0,0,0,1,0,0,0,0,0,0,0
43,0,3,1,4.0256,2,0,0,0,0,0,0,0.0833,1,0,1,0,0.35,1,0,0,0.0,0,1,2,0,0,-1.0,0,0,0,0,0,-1.0,0,-1.0,-1,0.2188,1,1,1,1,0,1,1,0,0.099216,0.573432,0.10396,0,0,0,0,0,0,0,0,0,0,0,1
35,0,1,0,2.9219,0,1,0,0,17,0,0,0.0,0,0,0,0,0.15,1,0,0,0.0,0,1,1,0,1,11475.0,0,0,1,1,0,60.0,0,-1.0,-1,0.1034,0,0,0,0,0,1,1,1,0.358292,0.004744,0.778259,1,0,0,0,0,0,0,0,0,0,0,0
37,2,2,0,3.647,1,0,0,0,0,0,0,0.0,0,0,0,0,0.5,0,0,0,0.0,0,1,2,0,0,-1.0,0,0,0,1,0,56.0,0,0.5,0,0.2229,1,1,0,0,0,0,0,1,0.110974,0.573432,0.778259,1,0,0,0,0,0,0,0,0,0,0,0
34,2,2,0,3.7962,1,0,0,0,0,0,0,0.0,0,0,0,0,0.5,0,0,0,0.0,0,1,2,0,0,-1.0,0,0,0,1,0,84.0,0,0.5,0,0.2259,1,1,0,0,0,0,0,1,0.110974,0.573432,0.778259,1,0,0,0,0,0,0,0,0,0,0,0
44,4,2,2,4.281,1,0,0,0,0,0,0,0.25,3,0,3,0,0.5,0,0,0,0.0,0,1,2,0,0,-1.0,0,0,0,1,0,68.0,0,0.5,0,0.3356,1,1,0,0,0,0,0,0,0.110974,0.573432,0.050124,1,0,0,0,0,0,0,0,0,0,0,0
47,1,2,2,4.1329,1,1,0,0,13,0,0,0.0833,1,0,1,0,0.35,1,0,0,0.0,0,1,2,0,0,-1.0,0,0,0,1,0,78.0,0,0.125,0,0.221,1,1,0,0,0,0,0,0,0.099216,0.573432,0.10396,1,0,0,0,0,0,0,0,0,0,0,0
38,1,1,0,3.5944,0,1,0,0,6,0,0,0.0,0,0,0,0,0.15,1,0,0,0.0,0,1,3,0,1,4209.0,0,1,1,0,0,-1.0,-1,-1.0,-1,0.1169,0,0,1,1,1,1,1,1,0.358292,0.012995,0.778259,0,0,0,0,0,0,0,0,0,0,0,1
38,1,2,0,3.5614,1,0,0,0,0,0,0,0.0,0,0,0,0,0.22,1,0,0,0.0,0,1,1,0,0,222.0,0,1,1,0,0,-1.0,-1,0.25,0,0.1372,0,0,1,1,1,0,0,1,0.042492,0.000413,0.778259,0,0,0,0,0,0,0,0,0,0,0,1
24,0,1,0,2.2516,0,1,0,0,10,0,0,0.1667,2,0,2,0,0.5,0,0,0,0.0,0,1,2,0,1,-1.0,0,0,0,1,0,40.0,0,0.3125,0,0.2617,1,1,0,0,0,0,0,0,0.003507,0.573432,0.003713,1,0,0,0,0,0,0,0,0,0,0,0
39,0,3,0,4.1313,2,0,0,0,0,0,0,0.0,0,0,0,0,0.15,1,0,0,0.0,0,1,2,0,0,7470.0,0,0,1,0,0,-1.0,-1,0.3125,0,0.1276,0,0,1,1,1,0,0,1,0.358292,0.044554,0.778259,0,0,0,0,0,0,0,0,0,0,0,1
23,0,2,0,2.8424,1,1,0,0,0,0,0,0.0,0,0,0,0,0.15,1,0,0,0.0,0,1,8,0,0,10587.0,0,0,1,1,0,53.0,0,0.125,0,0.1018,0,0,0,0,0,0,0,1,0.358292,0.044554,0.778259,1,0,0,0,0,0,0,0,0,0,0,0
96,0,2,0,3.8858,1,0,0,0,57,0,0,0.0833,1,0,1,0,0.55,1,0,0,0.0,0,0,0,0,0,-1.0,0,0,0,0,0,-1.0,-1,-1.0,-1,0.276,1,1,1,1,1,1,1,0,0.002682,0.573432,0.032178,0,0,0,0,0,0,0,0,0,0,0,1
42,0,2,2,3.7871,1,1,0,0,15,0,0,0.0,0,0,0,0,0.28,1,0,0,0.0,0,1,4,0,0,-1.0,0,0,0,1,0,51.0,0,0.3125,1,0.1597,1,1,0,0,0,0,0,1,0.045998,0.573432,0.778259,0,1,0,0,0,0,0,0,0,0,0,0
